[OBJECT]
#GRASS
9999	16	16
9999	16	32
9999	32	16
9999	32	32
9999	48	16
9999	48	32

9999	16	64
9999	32	64
9999	48	64
9999	16	80
9999	32	80
9999	48	80
9999	16	96

9999	80	32
9999	96	32
9999	112	32
9999	80	48
9999	96	48
9999	112	48
9999	80	64
9999	96	64
9999	112	64

9999	144	32
9999	160	32
9999	176	32

9999	208	16
9999	224	16
9999	208	32
9999	224	32
9999	208	48
9999	224	48

9999	144	64
9999	160	64
9999	176	64
9999	192	64
9999	208	64
9999	224	64

9999	144	80
9999	160	80

9999	96	96
9999	112	96
9999	128	96

9999	224	80
9999	224	96
9999	224	112
9999	224	128
9999	224	144
#SOLDIER
3	300 100
3	32	99
#BILL
